NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=24 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=245 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=41 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=180 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=193 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=249 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=258 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=139 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=226 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=71 actions=output:2
 cookie=0x0, duration=8.925s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=260 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=44 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=70 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=219 actions=output:3
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=229 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=53 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=184 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=57 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=198 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=145 actions=output:1
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=259 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=194 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=199 actions=output:2
 cookie=0x0, duration=8.935s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=115 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=56 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=130 actions=output:1
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=74 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=151 actions=output:2
 cookie=0x0, duration=8.926s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=243 actions=output:1
 cookie=0x0, duration=8.922s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=268 actions=output:3
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=89 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=167 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=197 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=166 actions=output:2
 cookie=0x0, duration=8.938s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=42 actions=output:3
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=164 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=168 actions=output:2
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=129 actions=output:1
 cookie=0x0, duration=8.93s, table=0, n_packets=0, n_bytes=0, idle_age=8, in_port=4,dl_vlan=165 actions=output:2
